amfi_code,cagr,sharpe_ratio,max_drawdown,alpha,beta,cagr_rank,sharpe_rank,alpha_rank,maxdd_rank,fund_score
120842,0.06696806255006482,0.07599984804658923,-0.24003511326274882,0.0785865149291694,0.0006475555544426223,31.0,30.0,29.0,8.0,27.900000000000002
120507,0.0723241093234459,0.4957233929533123,-0.000977314004592568,0.06747180157927476,-0.0011254611770458527,29.0,23.0,31.0,40.0,28.799999999999997
119092,0.0636349475771898,0.03078485095458594,-0.14401617909337266,0.0697017081135713,-0.019608739866468203,33.0,31.0,30.0,26.0,30.95
119599,0.02053064146209893,-0.05718662582817995,-0.525742211701285,0.050572431452751046,0.007680982959652939,38.0,32.0,36.0,1.0,32.0
120844,0.0691037983940288,-0.08874729621557288,-0.0011629327956168764,0.06454601487990588,-7.563158272733993e-05,30.0,34.0,32.0,39.0,32.6
119095,0.015204552427132478,-0.0759735711747892,-0.5167775370852657,0.045680128064692294,0.013291723470735522,39.0,33.0,37.0,2.0,33.0
100016,0.026352458116335464,-0.20151706755966936,-0.247344408806733,0.03622082583927385,-0.025909405765861097,37.0,35.0,39.0,7.0,33.900000000000006
119120,0.05885271270380055,-0.22657538662791576,-0.043287289239700974,0.055762723198290544,0.01199067259412252,34.0,37.0,34.0,36.0,35.1
101208,0.06504429821332125,-0.8155673679088263,-0.001622498024471732,0.06084211292226629,0.0013273169546884336,32.0,40.0,33.0,38.0,35.25
102886,0.0117093879842316,-0.20583160785470309,-0.2800112356639287,0.028949366251249286,-0.06147606747188305,40.0,36.0,40.0,6.0,35.4
118636,0.053131554027608274,-0.35662950751436784,-0.08316361763638701,0.05096267106480351,-0.008492388448091663,35.0,38.0,35.0,35.0,35.9
100025,0.04455091155784441,-0.5670947928476846,-0.04308263824636346,0.043189313078713834,-0.0161756408512603,36.0,39.0,38.0,37.0,37.5
